Time,Force_X,Force_Y,Ref_X,Force_X_Trajectory_1,Force_Y_Trajectory_1,Ref_X_Trajectory_1,Trajectory,Force_X_Negative,Force_Y_Positive
37.46,0.06651661366299626,0.06165449587480672,599.7415530536101,0.06651661366299626,0.06165449587480672,599.7415530536101,1.0,,0.06165449587480672
37.48,0.06274490889754344,0.06288747490899428,599.7266965670767,0.06274490889754344,0.06288747490899428,599.7266965670767,1.0,,0.06288747490899428
37.5,0.06025197737940165,0.061238649185916566,599.7111607800746,0.06025197737940165,0.061238649185916566,599.7111607800746,1.0,,0.061238649185916566
37.52,0.05948227333784904,0.05671348287913288,599.7031310109975,0.05948227333784904,0.05671348287913288,599.7031310109975,1.0,,0.05671348287913288
37.54,0.0602592404669276,0.050209218979295714,599.6779592230299,0.0602592404669276,0.050209218979295714,599.6779592230299,1.0,,0.050209218979295714
37.56,0.061956421932031554,0.04334723737399204,599.6602462150727,0.061956421932031554,0.04334723737399204,599.6602462150727,1.0,,0.04334723737399204
37.58,0.06371331098535096,0.03763691601131946,599.6417594263099,0.06371331098535096,0.03763691601131946,599.6417594263099,1.0,,0.03763691601131946
37.6,0.06469997657932827,0.03378718990765492,599.6322181249911,0.06469997657932827,0.03378718990765492,599.6322181249911,1.0,,0.03378718990765492
37.62,0.06450872961139671,0.03174583719606017,599.6023647161281,0.06450872961139671,0.03174583719606017,599.6023647161281,1.0,,0.03174583719606017
37.64,0.06338963517791676,0.03098194053415191,599.5814056818348,0.06338963517791676,0.03098194053415191,599.5814056818348,1.0,,0.03098194053415191
37.66,0.061926013214158124,0.030927163872074004,599.5595706375619,0.061926013214158124,0.030927163872074004,599.5595706375619,1.0,,0.030927163872074004
37.68,0.06053234502484994,0.03138499062355997,599.5483162616458,0.06053234502484994,0.03138499062355997,599.5483162616458,1.0,,0.03138499062355997
37.7,0.059194252230024065,0.03256826338948371,599.5131648997608,0.059194252230024065,0.03256826338948371,599.5131648997608,1.0,,0.03256826338948371
37.72,0.0576038395076893,0.034775038965541044,599.488539163631,0.0576038395076893,0.034775038965541044,599.488539163631,1.0,,0.034775038965541044
37.74,0.05558816589764445,0.037726768972233135,599.4758582948219,0.05558816589764445,0.037726768972233135,599.4758582948219,1.0,,0.037726768972233135
37.76,0.053245999277374126,0.04059673736533407,599.4497426587822,0.053245999277374126,0.04059673736533407,599.4497426587822,1.0,,0.04059673736533407
37.78,0.05047433636048663,0.04284128422799038,599.4086298367527,0.05047433636048663,0.04284128422799038,599.4086298367527,1.0,,0.04284128422799038
37.8,0.04677169486400281,0.04459592343000358,599.3798851678475,0.04677169486400281,0.04459592343000358,599.3798851678475,1.0,,0.04459592343000358
37.82,0.04204655476636027,0.046255820773150255,599.3651006996046,0.04204655476636027,0.046255820773150255,599.3651006996046,1.0,,0.046255820773150255
37.84,0.03708723847623218,0.04800334346177766,599.3190527288788,0.03708723847623218,0.04800334346177766,599.3190527288788,1.0,,0.04800334346177766
37.86,0.03284256444791842,0.050051678283424814,599.286902961262,0.03284256444791842,0.050051678283424814,599.286902961262,1.0,,0.050051678283424814
37.88,0.029616074354081815,0.05286049445677327,599.253555332277,0.029616074354081815,0.05286049445677327,599.253555332277,1.0,,0.05286049445677327
37.9,0.02728390983346542,0.05647331790492794,599.2364222626423,0.02728390983346542,0.05647331790492794,599.2364222626423,1.0,,0.05647331790492794
37.92,0.025774626421446394,0.06026624851789251,599.1831370114711,0.025774626421446394,0.06026624851789251,599.1831370114711,1.0,,0.06026624851789251
37.94,0.024846188081206894,0.06345451505173236,599.1460003349283,0.024846188081206894,0.06345451505173236,599.1460003349283,1.0,,0.06345451505173236
37.96,0.02406505811388371,0.06534236651952922,599.1075338284535,0.02406505811388371,0.06534236651952922,599.1075338284535,1.0,,0.06534236651952922
37.98,0.02323469540254675,0.06568800712419658,599.0877912097875,0.02323469540254675,0.06568800712419658,599.0877912097875,1.0,,0.06568800712419658
38.0,0.02254389618937324,0.06491567080410711,599.0264738878595,0.02254389618937324,0.06491567080410711,599.0264738878595,1.0,,0.06491567080410711
38.02,0.02225900869286461,0.06368120647868646,598.9838104959404,0.02225900869286461,0.06368120647868646,598.9838104959404,1.0,,0.06368120647868646
38.04,0.022472703705519667,0.06225289340770135,598.9619298979567,0.022472703705519667,0.06225289340770135,598.9619298979567,1.0,,0.06225289340770135
38.06,0.023171177946700976,0.06049051263342072,598.9170483417605,0.023171177946700976,0.06049051263342072,598.9170483417605,1.0,,0.06049051263342072
38.08,0.024300425697120237,0.05844688763234599,598.8468565168138,0.024300425697120237,0.05844688763234599,598.8468565168138,1.0,,0.05844688763234599
38.1,0.025771220747328995,0.05651724365502103,598.7980949107285,0.025771220747328995,0.05651724365502103,598.7980949107285,1.0,,0.05651724365502103
38.12,0.027434604345684756,0.055206111439974496,598.7731099059354,0.027434604345684756,0.055206111439974496,598.7731099059354,1.0,,0.055206111439974496
38.14,0.029061682514723474,0.05481997426541769,598.7219077138465,0.029061682514723474,0.05481997426541769,598.7219077138465,1.0,,0.05481997426541769
38.16,0.0303544186939779,0.0552112061773652,598.6419517240937,0.0303544186939779,0.0552112061773652,598.6419517240937,1.0,,0.0552112061773652
